country,n_observations,prop_floodable,prop_floodableH,prop_houses,median_floor_area,mean_rooms,median_price_eur
France,1213071,0.0485198310733667,0.00910911232730813,0.539706249675411,75,3.46886291074471,179600
United Kingdom,644038,0.0505078892860359,0.00394697207307643,0.872276170039656,85,4.68514746024303,197281.15
